name,description,category,subcategory,subsubcategory,combatscore,runescore
"Staff on Stryke","Kill a desert strykewyrm wearing a Full Slayer Helm and wielding an ancient staff.","Area Tasks","Elite Desert","N/A","N/A","25"
"Stairway to Haven","Climb the stairs within Brimhaven Dungeon.","Area Tasks","Medium Karamja","N/A","N/A","10"
"Stalker Notes","Find all Stalker notes.","Lore","Books","N/A","N/A","30"
"Stand and Deliver","Deliver a pizza to a hungry highwayman.","Activities","Just for Fun","N/A","N/A","10"
"Stand Still, Eluned!","Have Eluned or Ilfeen recharge a teleport crystal for you in Isafdar.","Area Tasks","Easy Tirannwn","N/A","N/A","5"
"Stand Your Ground","Defeat each of the six Legiones without moving.","Combat","Legiones","N/A","3","15"
"Star Seeker","Use the noticeboard near the Observatory to gather information about shooting stars.","Area Tasks","Easy Ardougne","N/A","N/A","5"
"Starstruck","Get knocked out by a shooting star.","Activities","Distractions & Diversions","Shooting Star","N/A","5"
"Stay Safe","Fully complete the Stronghold of Player Safety.","Activities","Minigames","N/A","N/A","5"
"Stay Secure","Fully complete the Stronghold of Security.","Activities","Minigames","N/A","N/A","5"
"Staying Close","Defeat the Twin Furies solo without being hit by Nymora's 'Rain Death' attack.","Combat","Heart of Gielinor","Twin Furies","3","15"
"Stealing from a Merchant","Steal from a merchant in the Merchant District.","Exploration","Menaphos","N/A","N/A","0"
"Stealing Sedridor's Stones","Fully loot Archmage Sedridor's chest.","Lore","Post-Quest","N/A","N/A","20"
"Steel Justice","Smith a steel longsword on the anvil in the jailhouse sewers.","Area Tasks","Medium Lumbridge","N/A","N/A","10"
"Steel, Stud or Silk Salute","Perform the Salute emote in New Varrock while wearing level 20 armour.","Exploration","New Varrock","N/A","N/A","25"
"Stellar Born","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Step aside, Scarab","Defeat Amascut, the Devourer in enrage mode without anyone taking damage from Volatile scarab akh and Explosive scarab akh.","Combat","Amascut","N/A","4","25"
"Stick a Bork In Him, He's Done","Defeat Bork.","Area Tasks","Elite Varrock","N/A","N/A","25"
"Stick It to Da Boss Man","Use a Dorgeshuun spear on Bandos's throne.","Skills","Archaeology","Bandosian","N/A","10"
"Stick the Knife In","Venture through the cobwebbed corridor in Varrock's sewers.","Area Tasks","Easy Varrock","N/A","N/A","5"
"Stir, Galahad","Have Sir Galahad make you a cup of tea.","Area Tasks","Easy Seers' Village","N/A","N/A","5"
"Stoic Sweetcorn Guardian","Place a scarecrow to protect your sweetcorn in the patch north of Port Sarim.","Area Tasks","Medium Falador","N/A","N/A","10"
"Stolen Hearts","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Stone Cold Observers","Observe all the large dragonkin statues around Anachronia. (X/5)","Exploration","Anachronia","N/A","N/A","5"
"Stone's Throw Away","Complete the Dahmaroc statue in your player-owned house.","Skills","Construction","N/A","N/A","50"
"Stop stepping on those!","Defeat the Queen Black Dragon after having killed a Tortured Soul by only damaging them with chaos clouds.","Combat","Queen Black Dragon","N/A","2","10"
"Stop Time Stop","Defeat the Queen Black Dragon after cancelling the time stop attack.","Combat","Queen Black Dragon","N/A","3","15"
"Stranger and Stranger","Create a stranger plant pouch at the Well of Voyage.","Area Tasks","Medium Tirannwn","N/A","N/A","10"
"Stranger Things","Obtained a collection of unique drops from Rasial, the First Necromancer.","Feats","Boss Logs","N/A","N/A","0"
"Strength - Kangali","Unlock the Strength pet.","Skills","Skilling Pets","N/A","N/A","0"
"Strength 5","Reach level 5 in the Strength skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Strength 10","Reach level 10 in the Strength skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Strength 20","Reach level 20 in the Strength skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Strength 30","Reach level 30 in the Strength skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Strength 40","Reach level 40 in the Strength skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Strength 50","Reach level 50 in the Strength skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Strength 60","Reach level 60 in the Strength skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Strength 70","Reach level 70 in the Strength skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Strength 80","Reach level 80 in the Strength skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Strength 90","Reach level 90 in the Strength skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Strength 92 (Halfway There)","Reach level 92 in the Strength skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Strength 99","Reach level 99 in the Strength skill.","Skills","Combat (Skills)","N/A","N/A","5"
"Strength 110","Reach virtual level 110 in the Strength skill.","Skills","Combat (Skills)","N/A","N/A","0"
"Strength 120","Reach virtual level 120 in the Strength skill.","Skills","Combat (Skills)","N/A","N/A","0"
"Strength of a Raging Fire","Defeat Masuta the Ascended with at least 7 thrashing waters still remaining.","Combat","Temple of Aminishi","Masuta","3","15"
"Strike a Pose","Have Thessalia show you what outfits you can wear.","Area Tasks","Easy Varrock","N/A","N/A","5"
"Struck A-Ghast","Kill a ghast in Morytania.","Area Tasks","Easy Morytania","N/A","N/A","5"
"Student Becomes the Master","Learn all of Kili's equipment upgrade tasks.","Skills","Necromancy","N/A","N/A","30"
"Stuffed with Anima","Defeat Telos, the Warden at 100% or higher enrage after letting him reach a full anima bar in all 5 phases.","Combat","Telos","N/A","4","25"
"Stunlocked","Defeat Zamorak, Lord of Chaos at 750% or higher enrage after not stunning Zamorak during the 'Infernal Tomb' or 'Decimate' attack and taking the full damage.","Combat","Zamorak","N/A","5","40"
"Stunned and Done","Defeat the Giant Mole solo after stunning her during her 'Berserk' attack.","Combat","Giant Mole","N/A","1","5"
"Succession","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Suity Level Maximum","Deal at least 2,475 damage to a rock in a single swing. (Includes critical hits and rockertunities.)","Skills","Mining","N/A","N/A","10"
"Summary Spirits","Claim the XP from all Wilderness spirit realm portals.","Lore","Post-Quest","Experience","N/A","20"
"Summer's End","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Summoning - Shamini","Unlock the Summoning pet.","Skills","Skilling Pets","N/A","N/A","0"
"Summoning 5","Reach level 5 in the Summoning skill.","Skills","Summoning","N/A","N/A","5"
"Summoning 10","Reach level 10 in the Summoning skill.","Skills","Summoning","N/A","N/A","5"
"Summoning 20","Reach level 20 in the Summoning skill.","Skills","Summoning","N/A","N/A","5"
"Summoning 30","Reach level 30 in the Summoning skill.","Skills","Summoning","N/A","N/A","5"
"Summoning 40","Reach level 40 in the Summoning skill.","Skills","Summoning","N/A","N/A","5"
"Summoning 50","Reach level 50 in the Summoning skill.","Skills","Summoning","N/A","N/A","5"
"Summoning 60","Reach level 60 in the Summoning skill.","Skills","Summoning","N/A","N/A","5"
"Summoning 70","Reach level 70 in the Summoning skill.","Skills","Summoning","N/A","N/A","5"
"Summoning 80","Reach level 80 in the Summoning skill.","Skills","Summoning","N/A","N/A","5"
"Summoning 90","Reach level 90 in the Summoning skill.","Skills","Summoning","N/A","N/A","5"
"Summoning 92 (Halfway There)","Reach level 92 in the Summoning skill.","Skills","Summoning","N/A","N/A","5"
"Summoning 99","Reach level 99 in the Summoning skill.","Skills","Summoning","N/A","N/A","5"
"Summoning 110","Reach virtual level 110 in the Summoning skill.","Skills","Summoning","N/A","N/A","0"
"Summoning 120","Reach virtual level 120 in the Summoning skill.","Skills","Summoning","N/A","N/A","0"
"Sun Shade","Plant a dominion marker in the desert, with all its achievements complete, including killing Sunfreet.","Area Tasks","Elite Desert","N/A","N/A","25"
"Sunshine Through the Rain","Defeat Commander Zilyana in hard mode, solo, whilst under the effects of her 'Lightning' attack and the Sunshine ability.","Combat","God Wars Dungeon","Commander Zilyana","3","15"
"Superhot","Excavate in the Infernal Source while having the Superheat Form curse active.","Skills","Archaeology","Zamorakian","N/A","25"
"Superior Successor","Obtained a collection of unique drops from the Magister.","Feats","Boss Logs","N/A","N/A","0"
"Superiority Complex I","Defeat Verak Lith. (X/5)","Combat","Dragonkin Laboratory","Verak Lith","N/A","5"
"Superiority Complex II","Defeat Verak Lith. (X/10)","Combat","Dragonkin Laboratory","Verak Lith","3","15"
"Superiority Complex III","Defeat Verak Lith. (X/25)","Combat","Dragonkin Laboratory","Verak Lith","N/A","5"
"Superiority Complex IV","Defeat Verak Lith. (X/50)","Combat","Dragonkin Laboratory","Verak Lith","N/A","5"
"Superiority Complex V","Defeat Verak Lith. (X/75)","Combat","Dragonkin Laboratory","Verak Lith","N/A","5"
"Superiority Complex VI","Defeat Verak Lith. (X/100)","Combat","Dragonkin Laboratory","Verak Lith","N/A","5"
"Superiority Complex Solo Kills I","Defeat Verak Lith solo. (X/5)","Combat","Dragonkin Laboratory","Verak Lith","N/A","5"
"Superiority Complex Solo Kills II","Defeat Verak Lith solo. (X/10)","Combat","Dragonkin Laboratory","Verak Lith","N/A","5"
"Superiority Complex Solo Kills III","Defeat Verak Lith solo. (X/25)","Combat","Dragonkin Laboratory","Verak Lith","N/A","5"
"Superiority Complex Solo Kills IV","Defeat Verak Lith solo. (X/50)","Combat","Dragonkin Laboratory","Verak Lith","N/A","5"
"Superiority Complex Solo Kills V","Defeat Verak Lith solo. (X/75)","Combat","Dragonkin Laboratory","Verak Lith","N/A","5"
"Superiority Complex Solo Kills VI","Defeat Verak Lith solo. (X/100)","Combat","Dragonkin Laboratory","Verak Lith","N/A","5"
"Supernova","Defeat Astellarn the First Celestial without anyone killing a 'Pulsar'.","Combat","Dragonkin Laboratory","Astellarn","4","25"
"Supply and Demand","Complete five supply runs after 'Death Plateau'.","Lore","Post-Quest","N/A","N/A","10"
"Supreme Hatchling","Unlock the Supreme Hatchling pet from Dagannoth Supreme.","Combat","Boss Pets","N/A","N/A","0"
"Suspicious Fungus I","Defeat Croesus. (X/5)","Skills","Skilling Boss Croesus","N/A","N/A","5"
"Suspicious Fungus II","Defeat Croesus. (X/10)","Skills","Skilling Boss Croesus","N/A","N/A","5"
"Suspicious Fungus III","Defeat Croesus. (X/25)","Skills","Skilling Boss Croesus","N/A","N/A","5"
"Suspicious Fungus IV","Defeat Croesus. (X/50)","Skills","Skilling Boss Croesus","N/A","N/A","5"
"Suspicious Fungus V","Defeat Croesus. (X/75)","Skills","Skilling Boss Croesus","N/A","N/A","5"
"Suspicious Fungus VI","Defeat Croesus. (X/100)","Skills","Skilling Boss Croesus","N/A","N/A","5"
"Swan Song","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Swept Away","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Swift as the Coursing River","Defeat Masuta the Ascended with 65% of the calm waters effect or more.","Combat","Temple of Aminishi","Masuta","3","15"
"Swift Pick","Use a steel pickaxe or better to mine some ore.","Skills","Mining","N/A","N/A","0"
"Swings Both Ways","Complete a lap going in each direction on the Anachronia agility course.","Exploration","Anachronia","N/A","N/A","5"
"T'is But a Flesh Wound","Defeat Barrows: Rise of the Six without anyone being hit by Guthan's 'Impale' attack.","Combat","Barrows: Rise of the Six","N/A","3","15"
"Tactical Retreat","Unlock the War's Retreat teleport spell.","Combat","PvM Hub: War's Retreat","N/A","N/A","5"
"Tactical Retreat","Flee from any boss using a self-made gatestone.","Area Tasks","Medium Daemonheim","N/A","N/A","10"
"Tactless Analysis","Collect all 22 pages of dragonkin research in the Dragonkin Laboratory. (X/22)","Lore","Books","N/A","N/A","20"
"Tai Bwo Wannai Trio","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Take a Potato Chip...and Eat it!","View the recent wilderness kills on the death list noticeboard in Edgeville.","Area Tasks","Easy Wilderness","N/A","N/A","5"
"Take It From the Top","Reset your current floor progress.","Area Tasks","Easy Daemonheim","N/A","N/A","5"
"Take it to Sir Tiffy in a Jiffy","Deliver the knight's notes from the God Wars Dungeon to Sir Tiffy Cashien.","Lore","Books","N/A","N/A","5"
"Take Your Pick","Mine some copper in the mining spot to the south-east of Lumbridge Swamp.","Area Tasks","Beginner Lumbridge","N/A","N/A","5"
"Taken for Granite","Mine granite at the quarry south of the Bandit Camp.","Area Tasks","Medium Desert","N/A","N/A","10"
"Taking the Subway","Enter the chaos tunnels from an entrance in the Wilderness.","Area Tasks","Easy Wilderness","N/A","N/A","5"
"Talented in Necromancy","Unlock every Talent from the Well of Souls.","Skills","Necromancy","N/A","N/A","50"
"Tales of Nomad (miniquest)","Complete this miniquest.","Lore","Miniquests","N/A","N/A","15"
"Tales of Old","Complete a Fremennik Saga (abridged or unabridged) after talking to Skaldrun.","Area Tasks","Easy Daemonheim","N/A","N/A","5"
"Tales of the God Wars (miniquest)","Complete this miniquest.","Lore","Miniquests","N/A","N/A","20"
"Tank and Spank","Defeat Taraket the Necromancer while both the bloated monstrosity and corpse carrier are still alive.","Combat","Shadow Reef","Taraket","4","25"
"Taraket Competent Speed Killer","Defeat Taraket the Necromancer solo in less than 04:00.","Combat","Shadow Reef","Taraket","3","15"
"Taraket Elite Speed Killer","Defeat Taraket the Necromancer solo in less than 03:00.","Combat","Shadow Reef","Taraket","4","25"
"Taraket the Necromancer","Defeat Taraket the Necromancer. (X/1)","Combat","Shadow Reef","Taraket","N/A","0"
"Target Acquired","Defeat Vorago after he has reflected an Ultimate ability through each of his 'Target Link' attacks.","Combat","Vorago","N/A","4","25"
"Target Practice","Defeat Solak, Guardian of the Grove without letting any spore bombs hit the ground during his 'Earthen Seed' attack.","Combat","Solak","N/A","4","25"
"Task Master","Complete all the listed area achievement sets.","Area Tasks","N/A","N/A","N/A","0"
"Tasty Bobbles","Unlock the Tim and Crunchy pets during or after 'Gower Quest'.","Lore","Post-Quest","N/A","N/A","15"
"Tasty Pastry","Give Thurgo a redberry pie in the Warforge.","Skills","Archaeology","Bandosian","N/A","10"
"Taverley","Activate the lodestone in Taverley.","Exploration","Free to Play Lodestones","N/A","N/A","5"
"Teacher's Pet","Bring Helen the perfect cup of tea at the Archaeology campus.","Skills","Archaeology","N/A","N/A","5"
"Tears of Guthix","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Teleport Node On","Solve this mystery.","Skills","Archaeology","Dragonkin","N/A","15"
"Telos","Defeat Telos. (X/1)","Combat","Telos","N/A","N/A","0"
"Telos About Your Streak I","Defeat Telos, the Warden for a 100 killstreak.","Combat","Telos","N/A","5","40"
"Telos About Your Streak II","Defeat Telos, the Warden for a 200 killstreak.","Combat","Telos","N/A","6","50"
"Telos Elite Speed Killer","Defeat Telos, the Warden at 300% or higher enrage in less than 04:00.","Combat","Telos","N/A","4","25"
"Telos Grandmaster Speed Killer","Defeat Telos, the Warden at 4000% or higher enrage in less than 02:30.","Combat","Telos","N/A","6","50"
"Telos If You're Angry I","Defeat Telos at 50% enrage. (X/50)","Combat","Telos","N/A","N/A","5"
"Telos If You're Angry II","Defeat Telos at 100% enrage. (X/100)","Combat","Telos","N/A","N/A","5"
"Telos If You're Angry III","Defeat Telos at 250% enrage. (X/250)","Combat","Telos","N/A","N/A","5"
"Telos If You're Angry IV","Defeat Telos at 500% enrage. (X/500)","Combat","Telos","N/A","4","25"
"Telos If You're Angry V","Defeat Telos at 750% enrage. (X/750)","Combat","Telos","N/A","N/A","5"
"Telos If You're Angry VI","Defeat Telos at 1,000% enrage. (X/1,000)","Combat","Telos","N/A","N/A","5"
"Telos If You're Angry VII","Defeat Telos, the Warden at 2,000% enrage.","Combat","Telos","N/A","5","40"
"Telos Master Speed Killer","Defeat Telos, the Warden at 1000% or higher enrage in less than 03:15.","Combat","Telos","N/A","5","40"
"Telos Where It Hurts I","Defeat Telos. (X/5)","Combat","Telos","N/A","N/A","5"
"Telos Where It Hurts II","Defeat Telos. (X/10)","Combat","Telos","N/A","N/A","5"
"Telos Where It Hurts III","Defeat Telos. (X/25)","Combat","Telos","N/A","4","25"
"Telos Where It Hurts IV","Defeat Telos. (X/50)","Combat","Telos","N/A","N/A","5"
"Telos Where It Hurts V","Defeat Telos. (X/75)","Combat","Telos","N/A","N/A","5"
"Telos Where It Hurts VI","Defeat Telos. (X/100)","Combat","Telos","N/A","N/A","5"
